"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42857","El contenido del tarifario se muestra en el idioma elegido","Climbs - Suite de pruebas automatizadas","2026-09-05","passed","2026-09-05","Tarifario — multiidioma del encabezado","bloque-a/multiidioma.spec.ts","",""
"","46228","Traslados: trae tarifas y muestra el traslado esperado","Climbs - Suite de pruebas automatizadas","2026-09-05","passed","2026-09-05","Tarifario","bloque-a/tarifario.spec.ts","",""
"","61787","Cruceros: trae tarifas y muestra el crucero esperado","Climbs - Suite de pruebas automatizadas","2026-09-05","failed","2026-09-05","Tarifario","bloque-a/tarifario.spec.ts","",""
"","12987","El calendario opera todos los dias que declaran sus reglas","Climbs - Suite de pruebas automatizadas","2026-09-05","passed","2026-09-05","Tarifario — operatividad del calendario","bloque-a/calendario.spec.ts","",""
"","17309","Ofertas: trae tarifas y muestra la oferta esperada","Climbs - Suite de pruebas automatizadas","2026-09-05","failed","2026-09-05","Tarifario","bloque-a/tarifario.spec.ts","",""
"","15044","Card: el carrusel trae todas las imagenes del hotel","Climbs - Suite de pruebas automatizadas","2026-09-05","passed","2026-09-05","Tarifario — filtros y card","bloque-a/filtros-y-card.spec.ts","",""
"","4086","Login en el front de QA","Login","2026-09-05","passed","2026-09-05","","auth.setup.ts","",""
"","28901","Hoteles: trae tarifas y muestra el hotel esperado","Climbs - Suite de pruebas automatizadas","2026-09-05","passed","2026-09-05","Tarifario","bloque-a/tarifario.spec.ts","",""
"","46079","Excursiones: trae tarifas y muestra la excursion esperada","Climbs - Suite de pruebas automatizadas","2026-09-05","passed","2026-09-05","Tarifario","bloque-a/tarifario.spec.ts","",""
"","19017","Paquetes: trae tarifas y muestra el paquete esperado","Climbs - Suite de pruebas automatizadas","2026-09-05","failed","2026-09-05","Tarifario","bloque-a/tarifario.spec.ts","",""
"","44949","Cena Show: trae tarifas y coinciden con las de la base","Climbs - Suite de pruebas automatizadas","2026-09-05","passed","2026-09-05","Tarifario","bloque-a/tarifario.spec.ts","",""
"","12681","Cabecera: el contador, los chips de categoria y Limpiar acompanan al listado","Climbs - Suite de pruebas automatizadas","2026-09-05","passed","2026-09-05","Tarifario — filtros y card","bloque-a/filtros-y-card.spec.ts","",""
